code,label,short_label,category_code,category_label,entity_level,coverage_level,scope,geographic_scope,audiovisual_relevance,methodological_fit,discovery_origin,source_url,already_covered_by_active_aggregator,audiovisual_probe_status,audiovisual_probe_hits,audiovisual_probe_urls,organism_status,automatic_decision,automatic_priority,automatic_reason,next_step,rule_version
archipop,ARCHIPOP,ARCHIPOP,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional de filmes amadores e arquivos audiovisuais privados,instituição individual europeia,"É um arquivo explicitamente audiovisual. A rota pública Les Films expõe fichas de filmes amadores e familiares com metadados, descrições e players incorporados.",ativo,corpus já incorporado ao organismo,https://lesfilms.archipop.org/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
asim,Arxiu del So i de la Imatge de Mallorca,ASIM,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"arquivo mallorquino de som, imagem, cinema e fundos videográficos",instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas de filmes e vídeos do ASIM no EFG, com player Vimeo/Mémoire quando detectado, sem baixar mídia.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/search-efg/Arxiu%20del%20So%20i%20de%20la%20Imatge%20de%20Mallorca,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
luce,Cinecittà - Archivio Luce,Archivio Luce,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo cinematográfico e audiovisual italiano,instituição individual europeia,"É um arquivo explicitamente cinematográfico e audiovisual. A coleta registra fichas públicas e links de acesso quando declarados no HTML, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo físico ou digital.",ativo,corpus já incorporado ao organismo,https://patrimonio.archivioluce.com/luce-web/search/result.html?query=&jsonVal=%7B%22jsonVal%22%3A%7B%22startDate%22%3A%22%22%2C%22endDate%22%3A%22%22%2C%22fieldDate%22%3A%22dataNormal%22%2C%22_perPage%22%3A20%2C%22archiveType_string%22%3A%22%5C%22xDamsCineLuce%5C%22%22%7D%7D&activeFilter=archiveType_string,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
autrefois,Fondation Autrefois Genève,Autrefois,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual genevense com recorte público online,instituição individual europeia,"É uma fundação dedicada à preservação e valorização do patrimônio audiovisual de Genebra. A coleta registra apenas o recorte público online de vídeos, sem baixar mídia e sem tratar esse recorte como totalidade do acervo da fundação.",ativo,corpus já incorporado ao organismo,https://www.autrefoisgeneve.ch/wp-json/wp/v2/aiovg_videos,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
barch,Bundesarchiv,BArch,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo federal alemão com acervos fílmicos e recorte público no European Film Gateway,instituição individual europeia,"A coleta registra fichas públicas do Bundesarchiv no EFG com metadados, ano, gênero, duração, descrição, direitos e provedor, sem baixar mídia e sem tratar esse recorte como totalidade do acervo físico, digital interno, presencial ou licenciado do Bundesarchiv.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/search-efg/bundesarchiv,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
bbc,BBC Archive,BBC,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual televisivo britânico com recorte público online,instituição individual europeia,"A coleta materializa o recorte público editorial da BBC Archive, sem baixar mídia e sem tratar esse recorte como totalidade do arquivo televisivo, do Archive Search, do Rewind ou de serviços com registro, licença ou geobloqueio.",ativo,corpus já incorporado ao organismo,https://www.bbc.co.uk/topics/c01yxyz46myt,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
bfi,BFI National Archive,BFI,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"arquivo nacional britânico de cinema, televisão e imagem em movimento com recorte público no BFI Replay",instituição individual europeia,"A coleta materializa o recorte público 'Watch anywhere' do BFI Replay, sem baixar mídia e sem tratar esse recorte como totalidade do catálogo BFI, do Collections Search, do BFI Player, da Mediatheque, do acesso presencial de pesquisa ou do licenciamento.",ativo,corpus já incorporado ao organismo,https://replay.bfi.org.uk/search,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
bnfa,Bulgarian National Film Archive,BNFA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico nacional búlgaro com coleção pública mediada pelo European Film Gateway,instituição individual europeia,"É um arquivo explicitamente audiovisual/fílmico. A coleta registra fichas públicas da BNFA no EFG com metadados, ano, gênero, duração, descrição, direitos e provedor, sem baixar mídia e sem tratar essa rota como totalidade do acervo físico ou digital interno da instituição.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/search-efg/bnfa,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
bnt,Bulgarian National Television,BNT,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,televisão pública búlgara com arquivo audiovisual interno e recorte público online,instituição individual europeia,"A coleta materializa somente os registros com player público no recorte Архив (А-Я), sem baixar mídia e sem tratar esse recorte como totalidade do arquivo fílmico, arquivo digital, grade de programas, YouTube ou acervo interno de preservação/licenciamento da BNT.",ativo,corpus já incorporado ao organismo,https://bnt.bg/arhiv-a-ya-25cat.html,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ccma,Corporació Catalana de Mitjans Audiovisuals (CCMA) / 3Cat,CCMA/3Cat,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,televisão pública catalã com plataforma digital audiovisual 3Cat,instituição individual europeia,"A coleta registra somente vídeos públicos da plataforma 3Cat, sem baixar mídia. O serviço de venda/cópia de imagens de arquivo da TV3 é documentado metodologicamente como superfície sob demanda/restrita, mas não entra no corpus público coletado.",ativo,corpus já incorporado ao organismo,https://api.3cat.cat/cercador/tot,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ciclic,CICLIC - Centre-Val-de-Loire,CICLIC,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional de filmes amadores e memória audiovisual,instituição individual europeia,"É um arquivo explicitamente audiovisual. A rota Ciclic Mémoire expõe filmes amadores, profissionais e de memória regional com metadados, descrição, ficha pública e player.",ativo,corpus já incorporado ao organismo,https://memoire.ciclic.fr/films-d-archives,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinematek,Cinémathèque royale de Belgique / CINEMATEK,CINEMATEK,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional belga e rotas externas CINEMATEK@HOME,instituição individual europeia,"O corpus incorporado não é o catálogo completo da Cinémathèque royale de Belgique. Ele registra rotas oficiais CINEMATEK@HOME para plataformas externas; por exigir mediação externa, assinatura, aluguel, compra ou login em parte das fichas, o acesso é tratado como restrito/autenticado no índice.",ativo,corpus já incorporado ao organismo,https://cinematek.be/en/collections/be-film,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cineam,CINÉAM,CINÉAM,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional de filmes amadores e memória audiovisual da Île-de-France,instituição individual europeia,"É um arquivo explicitamente audiovisual dedicado à memória fílmica da Île-de-France. A rota pública `Films / Exploration` expõe filmes brutos, metadados, descrições e player.",ativo,corpus já incorporado ao organismo,https://www.cineam.asso.fr/exploration-905-0-0-0.html,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cna,Centre national de l'audiovisuel (CNA),CNA Luxembourg,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional audiovisual de Luxemburgo,instituição individual europeia,"É um arquivo nacional audiovisual. A rota pública CNAsearch expõe uma base mista; o corpus materializa apenas registros de imagem em movimento, sem incorporar materiais não imagéticos.",ativo,corpus já incorporado ao organismo,https://cnasearch.public.lu/searchprofiles/run/4/film,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cnc-aff,CNC - Archives françaises du film,CNC/AFF,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional fílmico da França,instituição individual europeia,"É um arquivo nacional fílmico. A sondagem registra a evidência pública de vídeos do CNC/AFF no European Film Gateway, sem baixar mídia, sem inferir cobertura total do acervo preservado e sem incorporar corpus enquanto a rota não for materializada por completo.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/search-efg/Centre%20nationale%20du%20cin%C3%A9ma%20CNC,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cpsa,Cinémathèque des Pays de Savoie et de l'Ain,CPSA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional audiovisual e de filmes amadores dos Pays de Savoie e de l'Ain,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas do catálogo e OEmbed Diaz/CPSA quando exposto, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.letelepherique.org/le-catalogue-des-collections-527-0-0-0.html,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cdna,Cinémathèque de Nouvelle-Aquitaine,CdNA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional audiovisual e de filmes amadores da Nova Aquitânia,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas e links de vídeo expostos pela própria plataforma, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://cdna.memoirefilmiquenouvelleaquitaine.fr/films,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinemateca-portuguesa,Cinemateca Portuguesa - Museu do Cinema,Cinemateca Portuguesa,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional português de cinema e imagens em movimento,instituição individual europeia,"É uma cinemateca nacional dedicada ao património cinematográfico. A coleta registra fichas públicas de vídeo e iframes Vimeo quando expostos, sem baixar mídia e sem contornar restrições.",ativo,corpus já incorporado ao organismo,https://www.cinemateca.pt/cinemateca-digital/video.aspx,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
csc-cineteca-nazionale,Fondazione Centro Sperimentale di Cinematografia - Cineteca Nazionale,Cineteca Nazionale / CSC,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo nacional fílmico italiano com catálogo público online de vídeos institucionais e patrimoniais,instituição individual europeia,"O corpus usa somente fichas do Catalogo video com imagem em movimento publicada por player público. O acervo fílmico amplo e a consulta por estudo/agendamento são registrados como contexto, mas não são contados como dados públicos online.",ativo,corpus já incorporado ao organismo,https://www.fondazionecsc.it/video-cineteca/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinearchives,Ciné-Archives,Ciné-Archives,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual francês do PCF e do movimento operário,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas do catálogo e iframes Diaz/OEmbed quando expostos, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.cinearchives.org/catalogue-1104-0-0-0.html,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinematheque-bretagne,Cinémathèque de Bretagne,Cinémathèque de Bretagne,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo regional audiovisual e de filmes amadores da Bretanha histórica,instituição individual europeia,"É um arquivo explicitamente audiovisual. A coleta registra fichas públicas do catálogo e iframes Diaz/OEmbed quando expostos, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.cinematheque-bretagne.bzh/voir-les-films-426-0-0-0.html,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinematheque-francaise,Cinémathèque française / Musée du cinéma,Cinémathèque française,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional francesa e plataforma HENRI de streaming gratuito de filmes raros,instituição individual europeia,"A Cinémathèque française declara uma coleção física com mais de 40.000 filmes, mas o corpus incorporado aqui é apenas a superfície pública HENRI, com fichas e players incorporados, sem baixar mídia, sem contornar restrições e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.cinematheque.fr/henri/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinematheque-suisse,Cinémathèque suisse,Cinémathèque suisse,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional suíça com metadados públicos e mídia de acesso local/autorizado,instituição individual europeia,"A unidade é explicitamente cinematográfica/audiovisual. O corpus materializa metadados e localizadores oficiais de objetos digitais, mas os registros indicam acesso local/autorizado e uso sujeito a autorização, não streaming público aberto.",ativo,corpus já incorporado ao organismo,https://api.memobase.ch/recordSet/csa-001?format=Json,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
cinememoire,Cinémémoire,Cinémémoire,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"cinemateca de filmes inéditos, amadores e familiares de Marseille/PACA",instituição individual europeia,"É um arquivo explicitamente audiovisual, dedicado a filmes inéditos, amadores e familiares. A coleta registra links públicos MP4 e metadados das fichas, sem baixar mídia.",ativo,corpus já incorporado ao organismo,https://cinememoire.net/recherche-simple,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
crnogorska-kinoteka,Crnogorska Kinoteka,Crnogorska Kinoteka,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,cinemateca nacional de Montenegro com ficha pública de vídeo no European Film Gateway,instituição individual europeia,"É uma cinemateca/arquivo fílmico nacional. O corpus incorporado é o recorte público unitário disponível no EFG, sem baixar mídia e sem afirmar cobertura total do acervo preservado.",ativo,corpus já incorporado ao organismo,https://www.europeanfilmgateway.eu/da/search-efg/ck%20crnogorska%20kinoteka,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
czech-television,Czech Television,Czech Television,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,televisão pública tcheca com plataforma digital audiovisual iVysílání,instituição individual europeia,"A coleta registra apenas páginas públicas de vídeo sob demanda do iVysílání. O foco é a circulação pública de audiovisual televisivo em plataforma institucional, não direitos, download de mídia ou acesso a acervos internos.",ativo,corpus já incorporado ao organismo,https://www.ceskatelevize.cz/ivysilani/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
dff,DFF - Deutsches Filminstitut & Filmmuseum,DFF,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,instituto fílmico e museu com arquivo e plataforma pública filmportal.de,instituição individual europeia,"A coleta registra apenas fichas públicas de vídeo do filmportal.de, com metadados e sinal de player. Não baixa mídia, não substitui o Film Archive físico e não exaure o Bestandskatalog.",ativo,corpus já incorporado ao organismo,https://www.filmportal.de/videos,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
dhm,Deutsches Historisches Museum / Zeughauskino,DHM,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,museu histórico alemão com arquivo fílmico e seleção filmográfica pública do Zeughauskino,instituição individual europeia,"A coleta registra metadados filmográficos públicos e páginas de acesso, sem pressupor player aberto e sem baixar mídia. O corpus não representa o Film Archive integral do DHM.",ativo,corpus já incorporado ao organismo,https://www.dhm.de/zeughauskino/en/programs/zeughauskino-online/films-of-the-marshall-plan/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
dr,DR - Danmarks Radio,DR,institution,Arquivos e instituições arquivísticas,instituição televisiva pública,instituição individual europeia,emissora pública dinamarquesa com superfície audiovisual DRTV/Gensyn,instituição individual europeia,"A coleta registra apenas o recorte DRTV/Gensyn com imagem em movimento. Não baixa mídia, não incorpora materiais sem imagem em movimento e não representa o DR-arkivet integral preservado pela Biblioteca Real dinamarquesa.",ativo,corpus já incorporado ao organismo,https://www.dr.dk/drtv/gensyn,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
deutsche-kinemathek,Deutsche Kinemathek / Museum für Film und Fernsehen,Deutsche Kinemathek,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"cinemateca, museu e arquivo alemão com programa público de streaming curatorial Selects",instituição individual europeia,"A coleta registra somente os filmes públicos do programa Selects, sem baixar mídia. O corpus não representa o Film Archive integral, o portal de busca completo nem rotas internas de consulta.",ativo,corpus já incorporado ao organismo,https://www.deutsche-kinemathek.de/en/online/streaming,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
eafa,East Anglian Film Archive,EAFA,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,"arquivo regional britânico de filme, televisão, vídeo e imagem em movimento",instituição individual europeia,"A coleta materializa somente fichas públicas retornadas pelo filtro `hasVideo=on` e confirmadas por player detectável na página de obra, sem baixar mídia e sem tratar esse recorte como totalidade do acervo preservado, licenciado, físico, institucional ou disponibilizado em plataformas parceiras.",ativo,corpus já incorporado ao organismo,https://eafa.org.uk/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ecpad,ECPAD - Établissement de communication et de production audiovisuelle de la Défense,ECPAD,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo audiovisual militar francês com catálogo público Arkothèque,instituição individual europeia,"A coleta registra metadados e fichas públicas de vídeos. O corpus separa vídeos com visual online de vídeos apenas descritos/consultáveis por mediação institucional, sem baixar mídia e sem contornar restrições.",ativo,corpus já incorporado ao organismo,https://archives.ecpad.fr/archives/consulter-les-archives-en-ligne,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
ert,ERT - Hellenic Broadcasting Corporation Archive,ERT,institution,Arquivos e instituições arquivísticas,instituição televisiva pública,instituição individual europeia,arquivo audiovisual da emissora pública grega,instituição individual europeia,"A coleta registra apenas posts com evidência explícita de vídeo, como `Τύπος ψηφιακού αρχείου = Βίντεο` ou fonte pública MP4/HLS. Coleções sem imagem em movimento ficam fora do escopo.",ativo,corpus já incorporado ao organismo,https://archive.ert.gr/,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
estonian_film_archive,Film Archive of the National Archives of Estonia / Arkaader,Estonian Film Archive,institution,Arquivos e instituições arquivísticas,instituição custodial,instituição individual europeia,arquivo fílmico nacional com plataforma pública de patrimônio audiovisual,instituição individual europeia,A coleta exclui materiais exclusivamente de som e se limita a registros de filme/transmissão audiovisual. O corpus diferencia metadados públicos de transmissões efetivamente expostas pela API pública do Arkaader.,ativo,corpus já incorporado ao organismo,https://arkaader.ee/landing/br/rHczO7kKnl/pbOiQfMOLr,False,sondagem_nao_realizada,,,ativo,ja_incorporado,0,A unidade já integra o organismo e segue em atualização periódica.,manter_no_ciclo_mensal,2026-05-organismo-v1
